datetime,demand_forecast,demand_real,nuclear_power_availability,error_demand_forecast,error_demand_forecast_avg_24H,error_demand_forecast_avg_12H,demand_real_lag_1D,demand_forecast_lag_1D,nuclear_power_availability_avg_24H,nuclear_power_availability_avg_12H
2020-01-01 00:00:00,22519.0,43237.2593076431,4762.944651590548,-20718.2593076431,-20718.2593076431,-20718.2593076431,0.0,0.0,4762.944651590548,4762.944651590548
2020-01-01 01:00:00,21222.0,29690.089448059807,25142.133396418245,-8468.089448059807,-14593.174377851454,-14593.174377851454,0.0,0.0,14952.539024004396,14952.539024004396
2020-01-01 02:00:00,19900.0,39794.71824643039,27050.834644204497,-19894.71824643039,-16360.355667377766,-16360.355667377766,0.0,0.0,18985.304230737762,18985.304230737762
2020-01-01 03:00:00,18998.0,8361.677122549236,3842.098641803226,10636.322877450764,-9611.186031170633,-9611.186031170633,0.0,0.0,15199.502833504128,15199.502833504128
2020-01-01 04:00:00,18849.0,13611.102431737057,32214.27202590311,5237.8975682629425,-6641.369311283919,-6641.369311283919,0.0,0.0,18602.456671983924,18602.456671983924
2020-01-01 05:00:00,19140.0,28321.11310521725,844.2457837829049,-9181.11310521725,-7064.659943606141,-7064.659943606141,0.0,0.0,15642.754857283755,15642.754857283755
2020-01-01 06:00:00,19354.0,38570.80820674876,24649.344235986733,-19216.808206748763,-8800.681124055087,-8800.681124055087,0.0,0.0,16929.410482812753,16929.410482812753
2020-01-01 07:00:00,19367.0,12253.383837741425,12819.390428524603,7113.616162258575,-6811.3939632658785,-6811.3939632658785,0.0,0.0,16415.657976026734,16415.657976026734
2020-01-01 08:00:00,19575.0,5345.720300090989,27087.084312868894,14229.27969990901,-4473.541334024225,-4473.541334024225,0.0,0.0,17601.37201345364,17601.37201345364
2020-01-01 09:00:00,20687.0,15886.788940012302,26881.069654817977,4800.211059987698,-3546.166094623032,-3546.166094623032,0.0,0.0,18529.341777590074,18529.341777590074
2020-01-01 10:00:00,22866.0,14657.987876003412,42264.64276876332,8208.012123996588,-2477.6044383848853,-2477.6044383848853,0.0,0.0,20687.096413151277,20687.096413151277
2020-01-01 11:00:00,23996.0,17584.976829984058,25560.81717119881,6411.023170015942,-1736.8854710181495,-1736.8854710181495,0.0,0.0,21093.23980965524,21093.23980965524
2020-01-01 12:00:00,24665.0,35007.111582472324,8012.498137636787,-10342.111582472324,-2398.825941130009,-872.2064939205848,0.0,0.0,20087.028911807665,21364.035933492425
2020-01-01 13:00:00,24638.0,44355.418406469755,36184.47803461708,-19717.418406469755,-3635.868260082848,-1809.6505737880805,0.0,0.0,21236.84670629405,22284.231320008996
2020-01-01 14:00:00,23365.0,24959.214473709482,29281.315644596245,-1594.2144737094823,-3499.7580076579566,-284.6085927280046,0.0,0.0,21773.144635514196,22470.10473670831
2020-01-01 15:00:00,22501.0,11128.714008477351,23400.745169231162,11372.285991522649,-2570.255257709169,-223.27833322201423,0.0,0.0,21874.86966887151,24099.9919473273
2020-01-01 16:00:00,22799.0,30633.035640389477,4484.269483389884,-7834.035640389477,-2879.8893978668343,-1312.606100609716,0.0,0.0,20851.89318737259,21789.158402117868
2020-01-01 17:00:00,25425.0,28563.92510687305,6022.682646614486,-3138.925106873048,-2894.2802705894014,-809.0904340810324,0.0,0.0,20028.04815733047,22220.694807353833
2020-01-01 18:00:00,26600.0,28864.18544094592,21780.082337329855,-2264.1854409459193,-2861.117384818692,603.6281297358713,0.0,0.0,20120.2604825936,21981.589649132424
2020-01-01 19:00:00,27434.0,49021.683119531815,38149.07271505912,-21587.683119531815,-3797.445671554348,-1788.146810413328,0.0,0.0,21021.701094216874,24092.396506343634
2020-01-01 20:00:00,27813.0,46880.45522410508,52967.675108686235,-19067.455224105077,-4524.588983580574,-4562.874720747835,0.0,0.0,22542.93795204875,26249.11240599508
2020-01-01 21:00:00,26992.0,16519.78365584045,28195.906889590835,10472.216344159551,-3842.9160141378406,-4090.207613733515,0.0,0.0,22799.89108557339,26358.682175559486
2020-01-01 22:00:00,24663.0,31133.080442754974,18226.091581253782,-6470.080442754974,-3957.1405545124985,-5313.3819942961445,0.0,0.0,22601.03023755949,24355.469576600357
2020-01-01 23:00:00,22296.0,30333.21126501495,7122.1861295268845,-8037.21126501495,-4127.143500783434,-6517.401530548719,0.0,0.0,21956.078399724804,22818.91698979436
2020-01-02 00:00:00,20403.0,39599.26702949146,27953.714512875667,-19196.267029491457,-4063.7271558604493,-7255.247817800314,,,22922.360477278347,24480.685021064273
2020-01-02 01:00:00,19247.0,34396.97394603778,6924.498710417375,-15149.973946037782,-4342.139009942864,-6874.627446097648,,,22163.29236536164,22042.353410714295
2020-01-02 02:00:00,18761.0,35361.703169979206,18783.181025551396,-16600.703169979206,-4204.888381757399,-8125.168170786793,,,21818.806797917765,21167.508859127225
2020-01-02 03:00:00,18900.0,24276.12319022163,8504.57932084017,-5376.123190221631,-4872.073634577081,-9520.868935932149,,,22013.076826210974,19926.16170509464
2020-01-02 04:00:00,19705.0,24223.26324971654,33571.238222233864,-4518.26324971654,-5278.580335326226,-9244.554570042737,,,22069.61708439142,22350.075766664973
2020-01-02 05:00:00,22625.0,10302.667261508408,29409.083250644784,12322.332738491592,-4382.603425171692,-7956.116416262351,,,23259.818645510662,24298.9424836675
